,year,SMT,VCI,TCI,VHI
272,1987 06  0.033,256.72,9.63,78.7,44.17
273,1987 07  0.036,257.55,11.47,81.99,46.73
274,1987 08  0.039,258.45,13.12,86.48,49.8
275,1987 09  0.041,260.01,12.29,89.77,51.03
276,1987 10  0.043,262.03,9.79,93.35,51.57
277,1987 11  0.046,264.27,7.45,95.59,51.52
278,1987 12  0.054,267.63,7.44,96.18,51.81
279,1987 13  0.067,271.29,9.35,95.86,52.6
280,1987 14  0.083,275.08,12.93,92.72,52.82
281,1987 15  0.102,278.72,15.17,89.36,52.26
282,1987 16  0.122,281.91,14.15,85.15,49.65
283,1987 17  0.143,284.87,13.3,78.77,46.03
284,1987 18  0.169,287.26,11.76,78.85,45.31
285,1987 19  0.202,289.01,12.96,80.16,46.56
286,1987 20  0.237,290.74,17.45,76.24,46.84
287,1987 21  0.271,292.32,25.0,68.1,46.55
288,1987 22  0.301,293.28,34.14,64.22,49.18
289,1987 23  0.323,293.74,43.02,63.7,53.36
290,1987 24  0.341,294.49,50.63,59.98,55.31
291,1987 25  0.356,295.05,56.06,58.9,57.48
292,1987 26  0.367,295.27,59.85,58.34,59.09
293,1987 27  0.369,295.72,60.13,54.14,57.13
294,1987 28  0.363,296.16,58.37,50.8,54.59
295,1987 29  0.347,295.97,51.69,56.06,53.88
296,1987 30  0.325,295.15,43.47,65.72,54.59
297,1987 31  0.306,293.86,36.38,77.26,56.82
298,1987 32  0.298,292.82,33.21,84.29,58.75
299,1987 33  0.289,291.71,30.31,89.62,59.96
300,1987 34  0.283,290.88,31.18,90.32,60.75
301,1987 35  0.276,290.02,33.39,86.56,59.97
302,1987 36  0.271,289.05,37.6,80.63,59.11
303,1987 37  0.262,287.88,40.06,79.81,59.93
304,1987 38  0.247,286.53,40.54,76.88,58.71
305,1987 39  0.229,284.81,41.39,74.36,57.87
306,1987 40  0.213,283.79,44.78,62.18,53.48
307,1987 41  0.196,282.26,47.09,52.61,49.85
308,1987 42  0.172,280.02,39.83,53.8,46.82
309,1987 43  0.142,277.88,32.32,49.15,40.73
310,1987 44  0.113,274.74,25.59,47.08,36.33
311,1987 45  0.091,272.15,21.74,46.13,33.94
312,1987 46  0.073,269.95,20.38,42.08,31.23
313,1987 47  0.059,268.1,18.94,34.99,26.97
314,1987 48  0.049,266.44,18.8,34.09,26.45
315,1987 49  0.047,265.07,21.57,34.92,28.25
316,1987 50  0.044,263.85,21.74,37.86,29.8
317,1987 51  0.041,262.77,20.47,38.28,29.37
318,1987 52  0.040,261.78,20.03,38.73,29.38
319,1988 01  0.039,261.2,18.0,37.42,27.71
320,1988 02  0.039,260.26,16.56,43.64,30.1
321,1988 03  0.039,259.7,16.46,49.17,32.82
322,1988 04  0.040,259.8,18.83,51.61,35.22
323,1988 05  0.043,258.61,22.43,63.18,42.8
324,1988 06  0.044,258.5,22.46,69.13,45.79
325,1988 07  0.044,258.32,21.07,76.26,48.67
326,1988 08  0.045,258.87,19.22,81.56,50.39
327,1988 09  0.047,260.06,17.68,84.99,51.33
328,1988 10  0.050,262.15,15.65,87.93,51.79
329,1988 11  0.054,265.19,13.94,87.08,50.51
330,1988 12  0.059,268.58,11.8,87.95,49.88
331,1988 13  0.067,272.39,10.99,85.13,48.06
332,1988 14  0.081,276.33,11.99,78.85,45.42
333,1988 15  0.097,279.23,12.6,78.2,45.4
334,1988 16  0.115,281.81,12.14,77.82,44.98
335,1988 17  0.140,284.05,13.84,78.0,45.92
336,1988 18  0.173,286.82,16.4,77.69,47.05
337,1988 19  0.202,289.2,16.24,75.18,45.71
338,1988 20  0.229,290.92,16.15,72.93,44.54
339,1988 21  0.250,291.97,16.8,71.41,44.11
340,1988 22  0.269,292.79,20.09,68.85,44.47
341,1988 23  0.286,293.45,25.81,66.53,46.17
342,1988 24  0.305,294.04,32.57,65.07,48.82
343,1988 25  0.315,294.17,34.33,68.54,51.43
344,1988 26  0.325,294.77,37.4,64.6,51.0
345,1988 27  0.336,295.66,41.86,55.27,48.57
346,1988 28  0.341,296.02,46.32,52.73,49.52
347,1988 29  0.340,295.75,48.37,58.41,53.39
348,1988 30  0.339,295.75,52.57,59.46,56.01
349,1988 31  0.336,295.55,54.12,59.61,56.87
350,1988 32  0.329,295.29,52.35,57.74,55.05
351,1988 33  0.319,294.99,48.2,50.73,49.47
352,1988 34  0.302,293.96,42.19,50.59,46.39
353,1988 35  0.284,292.71,38.12,51.1,44.61
354,1988 36  0.264,291.09,35.27,53.58,44.43
355,1988 37  0.243,289.6,31.52,56.32,43.92
356,1988 38  0.218,288.25,26.74,52.21,39.47
357,1988 39  0.197,286.95,25.24,43.12,34.18
358,1988 40  0.184,285.64,27.76,34.32,31.04
359,1988 41  0.164,282.34,27.02,50.34,38.68
360,1988 42  0.146,279.61,24.64,57.58,41.11
361,1988 43  0.125,275.65,22.35,69.59,45.97
362,1988 44  0.102,271.23,18.75,74.46,46.6
363,1988 45  0.087,267.6,18.04,76.65,47.34
364,1988 46  0.076,265.2,21.77,72.14,46.96
365,1988 47  0.065,263.29,23.88,61.9,42.89
366,1988 48  0.059,262.26,27.25,55.92,41.58
367,1988 49  0.055,261.54,28.78,52.31,40.55
368,1988 50  0.051,261.25,28.12,50.61,39.36
369,1988 51  0.050,261.13,31.19,46.01,38.6
370,1988 52  0.049,261.31,31.29,41.14,36.21
371,1989 01  0.049,262.62,30.7,31.71,31.21
372,1989 02  0.051,264.41,31.03,25.07,28.05
373,1989 03  0.052,266.33,33.1,18.09,25.6
374,1989 04  0.056,268.34,39.38,12.72,26.05
375,1989 05  0.061,269.97,46.03,11.95,28.99
376,1989 06  0.069,271.85,49.42,10.59,30.01
377,1989 07  0.077,273.36,51.84,10.5,31.17
378,1989 08  0.086,275.18,52.74,10.11,31.42
379,1989 09  0.094,277.14,51.97,9.44,30.7
380,1989 10  0.105,278.87,53.18,10.43,31.8
381,1989 11  0.119,280.71,56.31,7.8,32.06
382,1989 12  0.135,282.34,60.36,13.17,36.76
383,1989 13  0.153,283.88,65.46,17.43,41.45
384,1989 14  0.171,285.77,70.31,15.37,42.84
385,1989 15  0.188,287.6,71.06,14.35,42.71
386,1989 16  0.203,289.15,65.19,19.06,42.13
387,1989 17  0.223,290.57,59.87,23.87,41.87
388,1989 18  0.253,291.84,59.11,30.95,45.03
389,1989 19  0.281,292.69,58.16,39.05,48.61
390,1989 20  0.311,293.15,60.17,47.82,54.0
391,1989 21  0.337,294.13,63.61,46.85,55.23
392,1989 22  0.346,294.57,62.76,48.99,55.87
393,1989 23  0.347,294.56,59.29,53.46,56.38
394,1989 24  0.347,294.76,55.2,54.54,54.87
395,1989 25  0.347,294.9,51.94,57.8,54.87
396,1989 26  0.356,295.27,55.19,55.57,55.38
397,1989 27  0.358,295.46,55.23,54.68,54.95
398,1989 28  0.347,295.2,49.96,59.43,54.7
399,1989 29  0.330,294.69,42.97,68.37,55.67
400,1989 30  0.312,294.14,38.07,74.7,56.38
